Species,Sample,Diet,Peak,Identity,Class,RT,Area
T.ame,TAME1,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9938,1604194
T.ame,TAME2,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9925,1596344
T.ame,TAME5,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9906,1026128
T.ame,TAME3,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9949,767741
B.sim,BSIM3,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1365,107862124
B.sim,BSIM4,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.0997,2412370
B.sim,BSIM5,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1015,1957796
B.sim,BSIM1,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1149,735034
B.sim,BSIM2,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.109,304257
C.vit,CVIT3,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.121,2048757
C.vit,CVIT5,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.0971,794209
C.vit,CVIT1,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1207,751692
C.vit,CVIT2,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1259,144612
C.vit,CVIT4,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1004,44915
G.sep,GSEP5,Non-dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1103,178631
S.mom,SMOM1,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1154,4708302
S.mom,SMOM5,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.0911,114059
S.mom,SMOM4,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.0931,42250
T.ame,TAME4,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1112,29611
T.ame,TAME5,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1115,28552
T.ame,TAME1,Dietary,P046-RT-7.11,beta-Phellandrene,Terpenoids,7.1137,21492
A.her,AHER1,Non-dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.3556,324736
G.sep,GSEP2,Non-dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.3664,5312458
G.sep,GSEP1,Non-dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.384,2311621
G.sep,GSEP3,Non-dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.3671,200850
S.obo,SOBO2,Non-dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.393,78302
S.obo,SOBO5,Non-dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.3935,20157
T.ame,TAME4,Dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.3799,61389
T.ame,TAME2,Dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.3806,46222
T.ame,TAME1,Dietary,P053-RT-7.37,Eucalyptol,Terpenoids,7.3819,30478
B.sim,BSIM3,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.553,212060993
B.sim,BSIM5,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.504,20404478
B.sim,BSIM4,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.4993,15736351
B.sim,BSIM1,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5174,4099206
B.sim,BSIM2,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5067,1444922
C.vit,CVIT3,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5178,2005936
C.vit,CVIT5,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.4973,1751521
C.vit,CVIT1,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5213,1151780
C.vit,CVIT4,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.554,1103360
C.vit,CVIT2,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5718,38389
G.sep,GSEP5,Non-dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5615,8470497
G.sep,GSEP2,Non-dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5533,464720
G.sep,GSEP4,Non-dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5357,166338
S.mom,SMOM1,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5136,1964525
S.mom,SMOM5,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.4907,274760
S.obo,SOBO1,Non-dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5265,60273
T.ame,TAME5,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5102,137893
T.ame,TAME4,Dietary,P056-RT-7.53,cis-beta-Ocimene,Terpenoids,7.5138,93256
A.her,AHER2,Non-dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7894,27325
B.sim,BSIM2,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7682,248006
B.sim,BSIM3,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7697,146380
B.sim,BSIM1,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7823,139523
C.vit,CVIT1,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7861,38021
G.sep,GSEP2,Non-dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7603,1927848
G.sep,GSEP3,Non-dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.761,700694
G.sep,GSEP5,Non-dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7652,122340
S.mom,SMOM1,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7756,166222
S.mom,SMOM5,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7551,105148
T.ame,TAME4,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.782,531890
T.ame,TAME2,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7745,119456
T.ame,TAME1,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.7768,118599
T.ame,TAME3,Dietary,P059-RT-7.77,gamma-Terpinene,Terpenoids,7.774,102450
A.her,AHER3,Non-dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.85,343571
A.her,AHER5,Non-dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8386,276683
A.her,AHER2,Non-dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8481,205362
A.her,AHER4,Non-dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.9152,11092
B.sim,BSIM3,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8752,140633439
B.sim,BSIM5,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8291,36053572
B.sim,BSIM4,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8186,15155280
B.sim,BSIM1,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8444,5054036
B.sim,BSIM2,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8294,4260125
C.vit,CVIT3,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8385,3456136
C.vit,CVIT5,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8214,1542100
C.vit,CVIT2,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8343,508113
C.vit,CVIT4,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8212,424899
C.vit,CVIT1,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8459,115953
G.sep,GSEP2,Non-dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8225,546226
S.mom,SMOM1,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8367,1757545
S.mom,SMOM5,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8172,685102
S.mom,SMOM3,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8299,189640
S.obo,SOBO2,Non-dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8408,38264
S.obo,SOBO5,Non-dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8553,31503
T.ame,TAME4,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8576,470915
T.ame,TAME5,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8319,286024
T.ame,TAME2,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8347,144683
T.ame,TAME1,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8365,137114
T.ame,TAME3,Dietary,P062-RT-7.84,Unk. Monoterpene 2,Terpenoids,7.8342,68982
A.her,AHER5,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9932,29651
A.her,AHER3,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.0031,25513
A.her,AHER2,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.0003,21749
B.sim,BSIM2,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9854,954675
B.sim,BSIM1,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.0327,411382
B.sim,BSIM5,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9846,87932
B.sim,BSIM3,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9907,45221
C.vit,CVIT1,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.0096,196378
C.vit,CVIT4,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9782,65974
C.vit,CVIT2,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9874,52004
C.vit,CVIT5,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9837,39352
C.vit,CVIT3,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9964,1518
G.sep,GSEP1,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.1309,164444
G.sep,GSEP4,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.0225,109532
G.sep,GSEP2,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9828,87075
G.sep,GSEP5,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9776,45499
G.sep,GSEP3,Non-dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9801,40696
S.mom,SMOM3,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.0384,321063
S.mom,SMOM5,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.979,24676
T.ame,TAME4,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,8.0685,3615125
T.ame,TAME2,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9936,586440
T.ame,TAME3,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9931,130033
T.ame,TAME5,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9893,107524
T.ame,TAME1,Dietary,P065-RT-8.00,Mesitylene,Terpenoids,7.9973,85291
A.her,AHER1,Non-dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.2898,165756
A.her,AHER4,Non-dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.1709,147297
A.her,AHER5,Non-dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.18,39052
B.sim,BSIM1,Dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.2956,72771
B.sim,BSIM2,Dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.1751,72213
B.sim,BSIM3,Dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.1737,30983
B.sim,BSIM5,Dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.2649,10726
G.sep,GSEP4,Non-dietary,P067-RT-8.23,Unk. Monoterpene 3,Terpenoids,8.3269,90489
